Total_Beds,Beds_A,Beds_B,Beds_C,Avg_Relocated_Total,Avg_Prob_Full_A,Avg_Prob_Full_B,Avg_Prob_Full_C,Avg_Util_A,Avg_Util_B,Avg_Util_C
125,88,4,33,1164.3333333333333,0.06188680335503516,0.7489259994889883,0.47272654680246723,0.6716791199667913,0.8856164383561644,0.9822886398228864
125,88,5,32,1194.0,0.05601570350944959,0.706881852715186,0.4859720016483051,0.6731527604815275,0.8842009132420091,0.9837043378995434
125,88,6,31,1203.3333333333333,0.05231290102636418,0.6639422095863853,0.49758830569744933,0.6703196347031963,0.8791476407914764,0.9865959640595081
125,88,7,30,1186.3333333333333,0.048281031835732464,0.5926868583929639,0.5051624093303861,0.6581672893316729,0.8555772994129159,0.983835616438356
125,88,8,29,1256.6666666666667,0.0491077986348925,0.5646608819022613,0.5297976069388269,0.6589456205894563,0.8507990867579909,0.9849157612974334
125,88,9,28,1305.6666666666667,0.04719916811599884,0.523496091632734,0.5533678883517242,0.6466168534661686,0.8224251648909183,0.9878343118069145
125,88,10,27,1346.0,0.043396252929963096,0.48926860712544995,0.5701969145383282,0.6486093814860938,0.8262100456621004,0.989176391002875
125,88,11,26,1358.6666666666667,0.044956369375085015,0.40866587279143335,0.5775924169835583,0.6428808634288087,0.8084682440846823,0.9894274675096592
125,88,12,25,1372.0,0.02606601500273778,0.35170952094449115,0.6022339413355255,0.6375259443752594,0.7862252663622527,0.988675799086758
125,88,13,24,1386.3333333333333,0.02295659999481793,0.3325224325224325,0.6127350350803747,0.6186280614362806,0.7632595714787495,0.9895357686453577
125,88,14,23,1403.3333333333333,0.02366419607639117,0.28894399079878297,0.6250300035319916,0.6170298879202988,0.7373776908023483,0.9911058169545365
125,88,15,22,1438.3333333333333,0.02334629332763041,0.27063185280074736,0.6411513066484792,0.6179846409298464,0.7392998477929984,0.9929016189290163
125,88,16,21,1445.6666666666667,0.01965671763277747,0.23394625430080707,0.6494510137461368,0.615898713158987,0.718607305936073,0.9919547727766905
125,88,17,20,1449.0,0.01378196912985652,0.1824277546413563,0.6625956981223071,0.6124014113740142,0.7231265108783239,0.9925570776255709
125,88,18,19,1516.3333333333333,0.010359021476578523,0.16268968865296554,0.6919307884376709,0.6182648401826484,0.7140537798072044,0.9928863254025474
125,88,19,18,1545.0,0.014158412627243313,0.1308590908932591,0.7062019890530941,0.6016811955168119,0.6731074260994955,0.9928970065956367
125,88,20,17,1562.0,0.010627289121992886,0.10795513387877335,0.7228528281140587,0.5989829804898298,0.6638356164383561,0.9942519473542842
125,88,21,16,1626.6666666666667,0.00855273329108974,0.0983391288269337,0.7363585275945211,0.600705687007057,0.6300065231572081,0.9948059360730593
125,88,22,15,1687.6666666666667,0.010982248567579548,0.09137165083540062,0.7635939959321042,0.6086342880863428,0.6120381901203819,0.994703196347032
125,88,23,14,1708.3333333333333,0.010127540057188298,0.06322712940900972,0.7724508492567068,0.5905354919053548,0.6069088743299583,0.9962818003913894
125,88,24,13,1712.6666666666667,0.00646896141988455,0.04659923972437652,0.7835075072570475,0.5943752594437526,0.6004566210045662,0.9960660344221989
125,88,25,12,1765.0,0.009389650291927076,0.04028882042447934,0.8085884074673824,0.5962951432129514,0.5777534246575343,0.9961187214611872
125,88,26,11,1806.0,0.0033903115789369665,0.027984110845019266,0.8242558378615673,0.592164798671648,0.5558833860203723,0.9964300539643004
125,88,27,10,1817.0,0.0075388808296381,0.013996068801707992,0.8368887740999639,0.5735263594852635,0.5378995433789954,0.9973515981735158
125,88,28,9,1841.0,0.005657920449419322,0.017231912144702842,0.844743223112272,0.5854815276048152,0.5311480756686237,0.9967529173008626
125,88,29,8,1883.3333333333333,0.004947738415231898,0.005164029054613124,0.8699002237567451,0.5887608966376091,0.5051802865690442,0.9980593607305938
125,88,30,7,1924.3333333333333,0.0048737476794918876,0.009775310223740718,0.8827837467695843,0.5863013698630137,0.48118721461187214,0.9977821265492498
125,88,31,6,1965.0,0.007624925115056549,0.012577936609366331,0.9030565275092565,0.5931403071814031,0.49989689203122695,0.9975646879756468
125,88,32,5,1998.3333333333333,0.0032605585719234554,0.0,0.9181773514849249,0.5856475716064757,0.4321632420091324,0.9987214611872145
125,88,33,4,2036.3333333333333,0.0013175230566534913,0.002197802197802198,0.9318707997838923,0.5779680365296804,0.4446658364466583,0.9993150684931508
125,88,34,3,2098.6666666666665,0.0014904285221274194,0.0,0.9534303039127154,0.5734952262349523,0.4323663712060167,0.9990867579908675
